reaction_id	min_flux	max_flux
Methanobrevibacter_smithii_TF_cpd00001_Methanobrevibacter_smithii_e0	-550.000000	736.340064
Methanobrevibacter_smithii_TF_cpd03247_Methanobrevibacter_smithii_e0	-1.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00033_Methanobrevibacter_smithii_e0	-427.945481	2.000000
Methanobrevibacter_smithii_TF_cpd01663_Methanobrevibacter_smithii_e0	-3.000000	1.000000
Methanobrevibacter_smithii_TF_cpd01318_Methanobrevibacter_smithii_e0	-1.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00526_Methanobrevibacter_smithii_e0	-2.000000	2.000000
Methanobrevibacter_smithii_TF_cpd00009_Methanobrevibacter_smithii_e0	-41.200000	0.000000
Methanobrevibacter_smithii_TF_cpd00023_Methanobrevibacter_smithii_e0	-504.500000	0.000000
Methanobrevibacter_smithii_TF_cpd00027_Methanobrevibacter_smithii_e0	-2.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00028_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00030_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00034_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00039_Methanobrevibacter_smithii_e0	-0.749463	-0.000000
Methanobrevibacter_smithii_TF_cpd00041_Methanobrevibacter_smithii_e0	-502.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00048_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00051_Methanobrevibacter_smithii_e0	-21.550000	0.000000
Methanobrevibacter_smithii_TF_cpd00053_Methanobrevibacter_smithii_e0	-500.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00064_Methanobrevibacter_smithii_e0	-379.699971	0.000000
Methanobrevibacter_smithii_TF_cpd00073_Methanobrevibacter_smithii_e0	0.000000	21.550000
Methanobrevibacter_smithii_TF_cpd00098_Methanobrevibacter_smithii_e0	-0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00105_Methanobrevibacter_smithii_e0	-500.000000	-0.000000
Methanobrevibacter_smithii_TF_cpd00107_Methanobrevibacter_smithii_e0	-0.804487	0.000000
Methanobrevibacter_smithii_TF_cpd00108_Methanobrevibacter_smithii_e0	0.000000	0.000000
Methanobrevibacter_smithii_TF_cpd00119_Methanobrevibacter_smithii_e0	-0.189737	0.000000
